"MasterCatalogName","ProductType","AttributeCode","Type","VocabularyValue"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Blue-Night"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Cairn"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Cardinal-Red/Asphalt-Grey"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Charcoal"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Charcoal/Graphite"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Chromatic-Yellow"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Cranberry/Aubergine"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Crocus"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Dark-Raspberry"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Dark-Shadow"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Deep-Sea-Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Desert-Camo"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Diablo"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Dijon-Brown/Urban-Navy"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Dusk"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Dusty-Rose"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Earth"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Fire"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Flame-Orange"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Glacier-Grey"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Graphite/Bright-Fuchsia"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Green"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Green-Apple"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Grey-Tar/Forge-Grey"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Gunmetal"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Gunmetal/Lime-Punch"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Liberty"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Magma"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Maple-Orange"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Marine-Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Midnight-Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Molten-Lava"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Mystic-Magenta"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Night/Ultraviolet"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Nightshade"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Nightsky"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Onyx-Black"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Orange"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Orchid"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Pelican"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Pewter"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Pine-Green"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Pink-Lotus"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Poincianaornge/Asphltgry"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Purple"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Red"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Sangria"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Seaport"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Shadow-Black/Berry"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Silver-Gray-Heather"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Sky--Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Slate"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Solar-Flare-Orange"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Storm-Black"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Stormcloud-Grey"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Teal"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Thunderhead-Grey"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Titanium"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","True-Teal"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Waxed-Field-Brown"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Wheat"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","White"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Yellow"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Black"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Blue"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Green"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Grey"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Multi"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Orange"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Pink"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Purple"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Red"
"Mystic Outdoors Master","Backpacks","faset-color","Property","White"
"Mystic Outdoors Master","Backpacks","faset-color","Property","Yellow"
"Mystic Outdoors Master","Backpacks","frame-type","Property","Child-Carrier"
"Mystic Outdoors Master","Backpacks","frame-type","Property","External-Frame"
"Mystic Outdoors Master","Backpacks","frame-type","Property","Frameless"
"Mystic Outdoors Master","Backpacks","frame-type","Property","Internal-Frame"
"Mystic Outdoors Master","Backpacks","gender","Property","Men-s"
"Mystic Outdoors Master","Backpacks","gender","Property","Unisex"
"Mystic Outdoors Master","Backpacks","gender","Property","Women-s"
"Mystic Outdoors Master","Backpacks","material","Property","Cotton"
"Mystic Outdoors Master","Backpacks","material","Property","High-tenacity-nylon"
"Mystic Outdoors Master","Backpacks","material","Property","Nylon"
"Mystic Outdoors Master","Backpacks","material","Property","Nylon/closed-cell-foam"
"Mystic Outdoors Master","Backpacks","material","Property","Nylon/mesh"
"Mystic Outdoors Master","Backpacks","material","Property","Polyester/multidensity-foam"
"Mystic Outdoors Master","Backpacks","material","Property","Polyurethane-coated-nylon"
"Mystic Outdoors Master","Backpacks","material","Property","Ripstop-high-density-polyethylene--HDPE-"
"Mystic Outdoors Master","Backpacks","material","Property","Ripstop-nylon"
"Mystic Outdoors Master","Backpacks","material","Property","Ripstop-nylon/nylon-oxford"
"Mystic Outdoors Master","Backpacks","material","Property","100-denier-nylon"
"Mystic Outdoors Master","Backpacks","material","Property","150-denier-nylon"
"Mystic Outdoors Master","Backpacks","material","Property","600-denier-polyester"
"Mystic Outdoors Master","Backpacks","material","Property","300-denier-ripstop-polyester"
"Mystic Outdoors Master","Backpacks","number-of-exterior-pockets","Property","1"
"Mystic Outdoors Master","Backpacks","number-of-exterior-pockets","Property","2"
"Mystic Outdoors Master","Backpacks","number-of-exterior-pockets","Property","3---main-compartment"
"Mystic Outdoors Master","Backpacks","number-of-exterior-pockets","Property","4---main-compartment"
"Mystic Outdoors Master","Backpacks","number-of-exterior-pockets","Property","5---main-compartment"
"Mystic Outdoors Master","Backpacks","number-of-exterior-pockets","Property","6---main-compartment"
"Mystic Outdoors Master","Backpacks","number-of-exterior-pockets","Property","8---main-compartment"
"Mystic Outdoors Master","Backpacks","number-of-exterior-pockets","Property","9---main-compartment"
"Mystic Outdoors Master","Backpacks","pack-loading","Property","Bottom"
"Mystic Outdoors Master","Backpacks","pack-loading","Property","Front"
"Mystic Outdoors Master","Backpacks","pack-loading","Property","Side"
"Mystic Outdoors Master","Backpacks","pack-loading","Property","Top"
"Mystic Outdoors Master","Backpacks","size","Property","One-Size"
"Mystic Outdoors Master","Backpacks","trip-length-capacity","Property","Extended--70-L-"
"Mystic Outdoors Master","Backpacks","trip-length-capacity","Property","Multiday--50-80L-"
"Mystic Outdoors Master","Backpacks","trip-length-capacity","Property","Wekend--35-50L-"
"Mystic Outdoors Master","Backpacks","features","Property","Convertible"
"Mystic Outdoors Master","Backpacks","features","Property","Adjustable-Torso"
"Mystic Outdoors Master","Backpacks","features","Property","Quick-Drying"
"Mystic Outdoors Master","Backpacks","features","Property","Waterproof"
"Mystic Outdoors Master","Backpacks","features","Property","Avalanche-Airbag"
"Mystic Outdoors Master","Backpacks","features","Property","BPA-Free"
"Mystic Outdoors Master","Backpacks","features","Property","Bite-Valve-Shut-Off-Switch"
"Mystic Outdoors Master","Backpacks","features","Property","Carry-On-Size"
"Mystic Outdoors Master","Backpacks","features","Property","Compression-Straps"
"Mystic Outdoors Master","Backpacks","features","Property","Laptop-Compartment"
"Mystic Outdoors Master","Backpacks","features","Property","New-Arrivals"
"Mystic Outdoors Master","Backpacks","features","Property","Quick-Disconnect-Tubing"
"Mystic Outdoors Master","Backpacks","features","Property","RFID-Blocking"
"Mystic Outdoors Master","Backpacks","features","Property","Raincover-Included"
"Mystic Outdoors Master","Backpacks","features","Property","Removable-Daypack"
"Mystic Outdoors Master","Backpacks","features","Property","Suspended-Mesh-Back-Panel"
"Mystic Outdoors Master","Backpacks","features","Property","Wide-Mouth-Opening"
"Mystic Outdoors Master","Backpacks","features","Property","iPad-/-Tablet-Compartment"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Black"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Anthracite-Black"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Aquamarine"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Green"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Avatar-Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Orange"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Purple"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Black/Lime-Punch"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Red"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Teal"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Blue-Night"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","White"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Charcoal/Graphite"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Yellow"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Chromatic-Yellow"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Cranberry/Aubergine"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Dark-Raspberry"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Dark-Shadow"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Deep-Sea-Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Diablo"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Dijon-Brown/Urban-Navy"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Fire"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Flame-Orange"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Graphite/Bright-Fuchsia"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Green-Apple"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Grey-Tar/Forge-Grey"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Gunmetal"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Gunmetal/Lime-Punch"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Magma"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Maple-Orange"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Marine-Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Midnight-Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Molten-Lava"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Mystic-Magenta"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Nightsky"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Onyx-Black"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Pine-Green"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Pink-Lotus"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Poincianaornge/Asphltgry"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Shadow-Black/Berry"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Sky--Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Solar-Flare-Orange"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Storm-Black"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Stormcloud-Grey"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Thunderhead-Grey"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Titanium"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","True-Teal"
"Mystic Outdoors Master","Backpacks","brand-colors","Option","Waxed-Field-Brown"
"Mystic Outdoors Master","Backpacks","faset-color","Option","Black"
"Mystic Outdoors Master","Backpacks","faset-color","Option","Blue"
"Mystic Outdoors Master","Backpacks","faset-color","Option","Green"
"Mystic Outdoors Master","Backpacks","faset-color","Option","Orange"
"Mystic Outdoors Master","Backpacks","faset-color","Option","Grey"
"Mystic Outdoors Master","Backpacks","faset-color","Option","Purple"
"Mystic Outdoors Master","Backpacks","faset-color","Option","Red"
"Mystic Outdoors Master","Backpacks","faset-color","Option","Pink"
"Mystic Outdoors Master","Backpacks","faset-color","Option","White"
"Mystic Outdoors Master","Backpacks","faset-color","Option","Yellow"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","5"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","10"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","15"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","20"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","25"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","30"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","35"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","40"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","50"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","55"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","60"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","65"
"Mystic Outdoors Master","Backpacks","gear-capacity","Option","70"
"Mystic Outdoors Master","Backpacks","gender","Option","Men-s"
"Mystic Outdoors Master","Backpacks","gender","Option","Women-s"
"Mystic Outdoors Master","Backpacks","gender","Option","Unisex"
"Mystic Outdoors Master","Backpacks","size","Option","Small"
"Mystic Outdoors Master","Backpacks","size","Option","Medium"
"Mystic Outdoors Master","Backpacks","size","Option","L/XL"
"Mystic Outdoors Master","Backpacks","size","Option","Large"
"Mystic Outdoors Master","Backpacks","size","Option","M/L"
"Mystic Outdoors Master","Backpacks","size","Option","One-Size"
"Mystic Outdoors Master","Backpacks","size","Option","Regular"
"Mystic Outdoors Master","Backpacks","size","Option","Extra Large"
"Mystic Outdoors Master","Backpacks","size","Option","S/M"
"Mystic Outdoors Master","Backpacks","size","Option","Short"
"Mystic Outdoors Master","Backpacks","size","Option","XS/S"
"Mystic Outdoors Master","Backpacks","size","Option","Tall"
"Mystic Outdoors Master","Backpacks","size","Option","XS"
"Mystic Outdoors Master","Backpacks","size","Option","100-fl.-oz."
"Mystic Outdoors Master","Hats","brand-colors","Property","Big-Sur-Blue"
"Mystic Outdoors Master","Hats","brand-colors","Property","Black"
"Mystic Outdoors Master","Hats","brand-colors","Property","Cairn"
"Mystic Outdoors Master","Hats","brand-colors","Property","Crocus"
"Mystic Outdoors Master","Hats","brand-colors","Property","Desert-Camo"
"Mystic Outdoors Master","Hats","brand-colors","Property","Dusk"
"Mystic Outdoors Master","Hats","brand-colors","Property","Dusty-Rose"
"Mystic Outdoors Master","Hats","brand-colors","Property","Earth"
"Mystic Outdoors Master","Hats","brand-colors","Property","Liberty"
"Mystic Outdoors Master","Hats","brand-colors","Property","Nightshade"
"Mystic Outdoors Master","Hats","brand-colors","Property","Pelican"
