"LocationTypeCodes","LocationCode","Name","Description","FulfillmentTypes","Is Disabled?","Address1","Address2","Address3","Address4","AddressType","CityOrTown","CountryCode","PostalOrZipCode","StateOrProvince","Shipping Contact CompanyOrOrganization","Shipping Contact Email","Shipping Contact FirstName","Shipping Contact LastNameOrSurname","Shipping Contact MiddleNameOrInitial","Shipping Contact PhoneNumber","Fax","Phone","Notes","SupportsInventory","AllowFulfillmentWithNoStock","Tags","Hours of operation - Sunday","Hours of operation - Monday","Hours of operation - Tuesday","Hours of operation - Wednesday","Hours of operation - Thursday","Hours of operation - Friday","Hours of operation - Saturday","Last Modified Date","Latitude","Longitude"
"STOR","CINCINNATI","Cincinnati","","Direct Ship, In Store Pickup","No","11700 Princeton Pike","","","","Commercial","Cincinnati","US","45246","OH","Mystic","mysticsports@yopmail.com","Cincinnati","Supervisor","","513-513-5133","","513-513-5133","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","39.2797","-84.4711"
"STOR","CLEVELAND","Cleveland","","Direct Ship, In Store Pickup","No","1447 Som Center Rd","","","","Commercial","Mayfield Heights","US","44124","OH","Mystic","mysticsports@yopmail.com","Cleveland","Supervisor","","440-400-4404","","440-400-4404","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","41.4983","-81.6437"
"STOR","COLSPRINGS","Colorado Springs","","Direct Ship, In Store Pickup","No","750 Citadel Dr E","","","","Commercial","Colorado Springs","US","80909","CO","Mystic","mysticsports@yopmail.com","Citadel","Supervisor","","719-719-7199","","719-719-7199","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:26 PM","38.8528","-104.761"
"STOR","COLUMBUS","Columbus","","Direct Ship, In Store Pickup","No","160 Easton Town Center","","","","Commercial","Columbus","US","43219","OH","Mystic","mysticsports@yopmail.com","Columbus","Supervisor","","614-614-6144","","614-614-6144","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","40.0052","-82.9312"
"STOR","CROWNCENTER","KC-Crown Center","","Direct Ship, In Store Pickup","No","2450 Grand Blvd","","","","Commercial","Kansas City","US","64108","MO","Mystic","mysticsports@yopmail.com","Crown Ctr","Supervisor","","816-8165465","","816-8165465","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","39.0844","-94.5845"
"STOR","DESMOINES","Des Moines","","Direct Ship, In Store Pickup","No","1551 Valley W Dr","","","","Commercial","Des Moines","US","50266","IA","Mystic","mysticsports@yopmail.com","De Moines","Supervisor","","515-515-5155","","515-515-5155","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","41.5866","-93.7657"
"STOR","DETROIT","Detroit","","Direct Ship, In Store Pickup","No","18900 Michigan Ave","","","","Commercial","Dearborn","US","48126","MI","Mystic","mysticsports@yopmail.com","Dearborn","Supervisor","","800-992-0084","","800-992-0084","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","42.3352","-83.1935"
"WHSE","EDIS","Edison DC","","Direct Ship","No","84 MAYFIELD AVE","","","","Commercial","EDISON","US","08837-3821","NJ","Mystic","mysticsports@yopmail.com","Edison","Supervisor","","201-950-9509","","201-950-9509","","Yes","Yes","","","","","","","","","9/27/2017 7:52:24 PM","40.5057","-74.3542"
"STOR","FREMONT","Fremont","","Direct Ship, In Store Pickup","No","43923 Pacific Commons Blvd","","","","Commercial","Fremont","US","94538","CA","Mystic","mysticsports@yopmail.com","Fremont","Supervisor","","510-510-5110","","510-510-5110","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:24 PM","37.5268","-121.966"
"STOR","FTLAUDERDALE","Ft Lauderdale","","Direct Ship, In Store Pickup","No","2414 E Sunrise Blvd","","","","Commercial","Fort Lauderdale","US","33304","FL","Mystic","mysticsports@yopmail.com","Ft Lauderdale","Supervisor","","954-954-5969","","954-954-5969","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:29 PM","26.1408","-80.1244"
"STOR","GALLERIADAL","Galleria Dallas","","Direct Ship, In Store Pickup","No","13350 Dallas Pkwy","","","","Commercial","Dallas","US","75240","TX","Mystic","mysticsports@yopmail.com","Galleria","Supervisor","","972-950-9509","","972-950-9509","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:24 PM","32.932","-96.7892"
"STOR","GLENDALE","LA-Glendale","","Direct Ship, In Store Pickup","No","200 West Broadway","","","","Commercial","Glendale","US","91210","CA","Mystic","mysticsports@yopmail.com","Glendale","Supervisor","","818-818-8188","","818-818-8188","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:25 PM","34.1419","-118.261"
"STOR","GRANDRAPIDS","Grand Rapids","","Direct Ship, In Store Pickup","No","3700 Rivertown Pkwy","","","","Commercial","Grandville","US","49418","MI","Mystic","mysticsports@yopmail.com","Grandville","Supervisor","","616-770-0001","","616-770-0001","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","42.8962","-85.7561"
"STOR","GREENBAY","Green Bay","","Direct Ship, In Store Pickup","No","303 Bay Park Square","","","","Commercial","Ashwaubenon","US","54304","WI","Mystic","mysticsports@yopmail.com","Green Bay","Supervisor","","920-920-4322","","920-920-4322","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:28 PM","44.5032","-88.0674"
"STOR","HOUSTON","Houston","","Direct Ship, In Store Pickup","No","303 Memorial City Way","","","","Commercial","Houston","US","77024","TX","Mystic","mysticsports@yopmail.com","Houston","Supervisor","","713-713-7133","","713-713-7133","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","29.7644","-95.5096"
"STOR","INDIANAPOLIS","Indianapolis","","Direct Ship, In Store Pickup","No","49 W Maryland St","","","","Commercial","Indianapolis","US","46204","IN","Mystic","mysticsports@yopmail.com","Indianapolis","Supervisor","","317-477-8896","","317-477-8896","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","39.7748","-86.159"
"STOR","JACKSON","Jackson","","Direct Ship, In Store Pickup","No","3645 US-80","","","","Commercial","Jackson","US","39209","MS","Mystic","mysticsports@yopmail.com","Jackson","Supervisor","","601-601-6042","","601-601-6042","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:28 PM","32.324","-90.2523"
"WHSE","KCDC","Kansas City DC","","Direct Ship","No","515 NW Parkway Dr","","","","Commercial","Kansas City","US","64150","MO","Mystic","mysticsports@yopmail.com","KC","Supervisor","","816-800-8008","","816-800-8008","","Yes","Yes","","","","","","","","","9/27/2017 7:52:24 PM","39.1706","-94.6288"
"STOR","LASVEGAS","Las Vegas","","Direct Ship, In Store Pickup","No","3200 Las Vegas Blvd","","","","Commercial","Las Vegas","US","89109","NV","Mystic","mysticsports@yopmail.com","Vegas","Supervisor","","702-702-7022","","702-702-7022","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:25 PM","36.1244","-115.145"
"STOR","LOUISVILLE","Louisville","","Direct Ship, In Store Pickup","No","1250 Bardstown Rd","","","","Commercial","Louisville","US","40204","KY","Mystic","mysticsports@yopmail.com","Louisville","Supervisor","","502-636-6984","","502-636-6984","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","38.2359","-85.7249"
"STOR","MEMPHIS","Memphis","","Direct Ship, In Store Pickup","No","1215 Southland Mall","","","","Commercial","Memphis","US","38116","TN","Mystic","mysticsports@yopmail.com","Memphis","Supervisor","","901-901-9011","","901-901-9011","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:28 PM","35.0366","-90.009"
"STOR","MILWUAKEE","Milwaukee","","Direct Ship, In Store Pickup","No","5700 W Capitol Dr","","","","Commercial","Milwaukee","US","53216","WI","Mystic","mysticsports@yopmail.com","Milwaukee","Supervisor","","630-506-3322","","630-506-3322","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:28 PM","43.0897","-87.9759"
"STOR","MINN","Minneapolis","","Direct Ship, In Store Pickup","No","1595 MN-36","","","","Commercial","Roseville","US","55113","MN","Mystic","mysticsports@yopmail.com","Minneapolis","Supervisor","","651-685-2547","","651-685-2547","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","44.9949","-93.1812"
"STOR","MOAMERICA","Mall of America","","Direct Ship, In Store Pickup","No","60 E Broadway","","","","Commercial","Bloomington","US","55425","MN","Mystic","mysticsports@yopmail.com","MOA","Supervisor","","952-532-3637","","952-532-3637","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","44.8426","-93.2398"
"STOR","NASHVILLE","Nashville","","Direct Ship, In Store Pickup","No","65 Arcade Alley","","","","Commercial","Nashville","US","37219","TN","Mystic","mysticsports@yopmail.com","Nashville","Supervisor","","615-642-4569","","615-642-4569","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:28 PM","36.1673","-86.7864"
"STOR","NEWORLEANS","New Orleans","","Direct Ship, In Store Pickup","No","333 Canal St","","","","Commercial","New Orleans","US","70130","LA","Mystic","mysticsports@yopmail.com","New Orleans","Supervisor","","504-504-3568","","504-504-3568","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:29 PM","29.9353","-90.0688"
"STOR","OAKBROOK","Chicago-Oak Brook","","Direct Ship, In Store Pickup","No","100 Oakbrook Center","","","","Commercial","Oakbrook","US","60523","IL","Mystic","mysticsports@yopmail.com","Oakbrook","Supervisor","","630-633-3553","","630-633-3553","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:28 PM","41.8008","-87.9369"
"WHSE","OAKLAND","Oakland DC","","Direct Ship","No","480 Ronald Way","","","","Commercial","Oakland","US","94621","CA","Mystic","mysticsports@yopmail.com","Oakland","Supervisor","","408-950-9509","","408-950-9509","","Yes","Yes","","","","","","","","","9/27/2017 7:52:24 PM","37.7559","-122.188"
"STOR","OKCITY","Oklahoma City","","Direct Ship, In Store Pickup","No","2501 W Memorial Rd","","","","Commercial","Oklahoma City","US","73134","OK","Mystic","mysticsports@yopmail.com","Quail Springs","Supervisor","","405-755-7555","","405-755-7555","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","35.6164","-97.5717"
"STOR","OLYMPIA","Olympia","","Direct Ship, In Store Pickup","No","625 Black Lane Blvd","","","","Commercial","Olympia","US","98502","WA","Mystic","mysticsports@yopmail.com","Olympia","Supervisor","","360-360-3606","","360-360-3606","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:25 PM","47.0342","-122.969"
"STOR","OMAHA","Omaha","","Direct Ship, In Store Pickup","No","7400 Dodge St","","","","Commercial","Omaha","US","68114","NE","Mystic","mysticsports@yopmail.com","Omaha","Supervisor","","402-456-4321","","402-456-4321","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","41.2649","-96.0512"
"STOR","ORLANDO","Orlando","","Direct Ship, In Store Pickup","No","4200 Conroy Rd","","","","Commercial","Orlando","US","32839","FL","Mystic","mysticsports@yopmail.com","Orlando","Supervisor","","407-407-4077","","407-407-4077","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:29 PM","28.4875","-81.4035"
"STOR","PARKLN","Park Lane","","Direct Ship, In Store Pickup","No","8030 Park Lane","","","","Commercial","Dallas","US","75231","TX","Mystic","mysticsports@yopmail.com","Park Ln","Supervisor","","214-696-5000","","214-696-5000","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","12/31/2018 4:55:52 PM","32.8766","-96.751"
"STOR","PASADENA","LA-Pasadena","","Direct Ship, In Store Pickup","No","3359 E. Foothill Blvd","","","","Commercial","Pasadena","US","91107","CA","Mystic","mysticsports@yopmail.com","Pasadena","Supervisor","","626-626-6266","","626-626-6266","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:24 PM","34.152","-118.089"
"STOR","PAVILIONS","Denver-Pavilions","","Direct Ship, In Store Pickup","No","500 16th Street","","","","Commercial","Denver","US","80202","CO","Mystic","mysticsports@yopmail.com","Pavilions","Supervisor","","303-260-2600","","303-260-2600","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:26 PM","39.7494","-104.994"
"STOR","PENSACOLA","Pensacola","","Direct Ship, In Store Pickup","No","7171 N Davis Hwy","","","","Commercial","Pensacola","US","32504","FL","Mystic","mysticsports@yopmail.com","Pensacola","Supervisor","","850-405-3333","","850-405-3333","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:28 PM","30.4907","-87.1837"
"STOR","PHILADELPHIA","Philadelphia","","Direct Ship, In Store Pickup","No","1625 Chestnut St","","","","Commercial","Philadelphia","US","19103","PA","Mystic","mysticsports@yopmail.com","Philadelphia","Supervisor","","215-556-7378","","215-556-7378","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","39.9642","-75.201"
"STOR","PITTSBURGH","Pittsburgh","","Direct Ship, In Store Pickup","No","200 Mall Cir Dr","","","","Commercial","Monroeville","US","15146","PA","Mystic","mysticsports@yopmail.com","Pittsburgh","Supervisor","","412-245-4476","","412-245-4476","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:31 PM","40.4259","-79.7644"
"STOR","PORTLAND","Portland","","Direct Ship, In Store Pickup","No","1140 N. Hayden Meadows Dr","","","","Commercial","Portland","US","97217","OR","Mystic","mysticsports@yopmail.com","Portland","Supervisor","","503-503-5033","","503-503-5033","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:25 PM","45.5749","-122.689"
"STOR","PROVIDENCE","Providence","","Direct Ship, In Store Pickup","No","1 Providence Pl","","","","Commercial","Providence","US","02903","RI","Mystic","mysticsports@yopmail.com","Providence","Supervisor","","401-400-4444","","401-400-4444","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:32 PM","41.8216","-71.4127"
"STOR","QUEENS","Queens","","Direct Ship, In Store Pickup","No","6118 190th st","","","","Commercial","Flushing","US","11365","NY","Mystic","mysticsports@yopmail.com","Queens","Supervisor","","718-880-0088","","718-880-0088","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:31 PM","40.7385","-73.79"
"STOR","RENO","Reno","","Direct Ship, In Store Pickup","No","5354 Meadowood Mall Cir","","","","Commercial","Reno","US","89502","NV","Mystic","mysticsports@yopmail.com","Reno","Supervisor","","775-775-7575","","775-775-7575","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:25 PM","39.5007","-119.765"
"STOR","RICHMOND","Richmond","","Direct Ship, In Store Pickup","No","4441 S Laburnum Ave","","","","Commercial","Richmond","US","23231","VA","Mystic","mysticsports@yopmail.com","Richmond","Supervisor","","877-849-1923","","877-849-1923","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:31 PM","37.4594","-77.3144"
"STOR","SACRAMENTO","Sacramento","","Direct Ship, In Store Pickup","No","8217 Laguna Blvd","","","","Commercial","Elk Grove","US","95758","CA","Mystic","mysticsports@yopmail.com","Sacramento","Supervisor","","916-226-1700","","916-226-1700","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:24 PM","38.4053","-121.43"
"STOR","SALTLAKE","Salt Lake","","Direct Ship, In Store Pickup","No","50 Main St","","","","Commercial","Salt Lake City","US","84144","UT","Mystic","mysticsports@yopmail.com","Salt Lake","Supervisor","","801-801-8011","","801-801-8011","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:26 PM","40.7569","-111.899"
"STOR","SANDIEGO","San Diego","","Direct Ship, In Store Pickup","No","3265 Sports Arena Blvd","","","","Commercial","San Diego","US","92110","CA","Mystic","mysticsports@yopmail.com","San Diego","Supervisor","","619-619-6199","","619-619-6199","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:24 PM","32.7639","-117.201"
"STOR","SAVANNAH","Savannah","","Direct Ship, In Store Pickup","No","7804 Abercorn Extension","","","","Commercial","Savannah","US","31406","GA","Mystic","mysticsports@yopmail.com","912-954-0004","Supervisor","","Supervisor","","Supervisor","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:29 PM","31.9932","-81.0955"
"STOR","SEATTLE","Seattle","","Direct Ship, In Store Pickup","No","328 Ne Northgate Way","","","","Commercial","Seattle","US","98125","WA","Mystic","mysticsports@yopmail.com","Seattle","Supervisor","","206-206-2066","","206-206-2066","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:25 PM","47.7184","-122.302"
"STOR","SIOUXFALLS","Sioux Falls","","Direct Ship, In Store Pickup","No","3800 S Louise Ave","","","","Commercial","Sioux Falls","US","57106","SD","Mystic","mysticsports@yopmail.com","Empire","Supervisor","","605-675-6708","","605-675-6708","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","43.517","-96.7896"
"STOR","SLO","San Luis Obispo","","Direct Ship, In Store Pickup","No","11970 Los Osos Valley Rd","","","","Commercial","San Luis Obispo","US","93405","CA","Mystic","mysticsports@yopmail.com","SLO","Supervisor","","805-805-8055","","805-805-8055","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:24 PM","35.2783","-120.692"
"STOR","STLOUIS","St Louis","","Direct Ship, In Store Pickup","No","1155 Saint Louis Galleria","","","","Commercial","St Louis","US","63117","MO","Mystic","mysticsports@yopmail.com","St Louis","Supervisor","","314-314-5689","","314-314-5689","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:28 PM","38.6286","-90.3194"
