"MasterCatalogName","ProductCode","VariationCode","Enabled","ExtraPrice","FixedListPrice","FixedSalePrice","FixedMSRP","DeltaMSRP","FixedWeight","ExtraWeight","ExtraCost","FulfillmentTypes","MfgPartNo","UPC","DistPartNo","sleeping-bag-shape","sleeping-capacity","fits-up-to","length","lens-color","sock-height","material","frame-color","meat","gear-capacity","temperature-rating","gender","brand-colors","hat-style","number-of-exterior-pockets","shirt-size","shirt-style","inseam-in.-","shoe-size","fabric-type","faset-color","size","pant-rise","pant-size","metal-type","attribut-bd","finish"
"Mystic Outdoors Master","GLO_008","GLO_008-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Black","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_008","GLO_008-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Black","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_008","GLO_008-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Black","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","GLO_007","GLO_007-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","GLO_007","GLO_007-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_007","GLO_007-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_007","GLO_007-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","GLO_006","GLO_006-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","GLO_006","GLO_006-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_006","GLO_006-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_006","GLO_006-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","GLO_005","GLO_005-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","GLO_005","GLO_005-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_005","GLO_005-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_005","GLO_005-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","GLO_002","GLO_002-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","GLO_002","GLO_002-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_002","GLO_002-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_002","GLO_002-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","GLO_001","GLO_001-8","Yes","","","125.00","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","GLO_001","GLO_001-7","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_001","GLO_001-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_001","GLO_001-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","Drybag_007","Drybag_007-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Orange","","","","","","","","","","","","","",""
"Mystic Outdoors Master","Drybag_007","Drybag_007-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Blue","","","","","","","","","","","","","",""
"Mystic Outdoors Master","Drybag_007","Drybag_007-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Black","","","","","","","","","","","","","",""
"Mystic Outdoors Master","Drybag_005","Drybag_005-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Orange","","","","","","","","","","","","","",""
"Mystic Outdoors Master","Drybag_005","Drybag_005-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Blue","","","","","","","","","","","","","",""
"Mystic Outdoors Master","DOG_002","DOG_002-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","L/XL","","","","",""
"Mystic Outdoors Master","DOG_002","DOG_002-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","DOG_002","DOG_002-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","Drybag_001","Drybag_001-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Pomegranate","","","","","","","","","","","","","",""
"Mystic Outdoors Master","Drybag_001","Drybag_001-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Limon","","","","","","","","","","","","","",""
"Mystic Outdoors Master","Drybag_001","Drybag_001-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Everglade","","","","","","","","","","","","","",""
"Mystic Outdoors Master","DOG_012","DOG_012-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Camper-Arrows","","","","","","","","","","","","","",""
"Mystic Outdoors Master","DOG_012","DOG_012-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Blue-Petal","","","","","","","","","","","","","",""
"Mystic Outdoors Master","DOG_011","DOG_011-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Twilight-Gray","","","","","","","","","20-26-in","","","","",""
"Mystic Outdoors Master","DOG_011","DOG_011-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Twilight-Gray","","","","","","","","","14-20-in","","","","",""
"Mystic Outdoors Master","DOG_011","DOG_011-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Twilight-Gray","","","","","","","","","11-14-in","","","","",""
"Mystic Outdoors Master","DOG_011","DOG_011-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Meadow-Green","","","","","","","","","20-26-in","","","","",""
"Mystic Outdoors Master","DOG_011","DOG_011-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Meadow-Green","","","","","","","","","14-20-in","","","","",""
"Mystic Outdoors Master","DOG_011","DOG_011-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Meadow-Green","","","","","","","","","11-14-in","","","","",""
"Mystic Outdoors Master","DOG_010","DOG_010-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Monument-Valley","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","DOG_010","DOG_010-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Monument-Valley","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","DOG_010","DOG_010-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Monument-Valley","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","DOG_010","DOG_010-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Blue-Mountains","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","DOG_010","DOG_010-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Blue-Mountains","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","DOG_010","DOG_010-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Blue-Mountains","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-10","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-9","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-8","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","11.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-7","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","10.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","8.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_001","HKFT_001-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-22","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","13","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-21","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","11.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-20","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","11","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-19","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","10.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-18","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","10","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-17","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","9.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-16","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","9","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-15","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","8.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-14","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","8","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-13","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","7.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-12","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Olive","","","","","","7","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-11","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","13","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-10","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","11.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-9","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","11","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-8","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","10.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-7","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","10","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","9.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","9","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","8.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","8","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","7.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_003","HKFT_003-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Burnt-Maple","","","","","","7","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-10","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","10.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-9","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-8","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-7","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","8.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","7.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","6.5","","","","","","","",""
"Mystic Outdoors Master","HKFT_002","HKFT_002-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-20","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Zinnia-Orange/Black","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-19","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Zinnia-Orange/Black","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-18","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Zinnia-Orange/Black","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-17","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Zinnia-Orange/Black","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-16","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Zinnia-Orange/Black","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-15","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Mid-Grey","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-14","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Mid-Grey","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-13","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Mid-Grey","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-12","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Mid-Grey","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-11","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Mid-Grey","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-10","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Cardinal-Red","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-9","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Cardinal-Red","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-8","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Cardinal-Red","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-7","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Cardinal-Red","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Cardinal-Red","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","HikeJack_005","HikeJack_005-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HikeJack_004","HikeJack_004-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Dune-Beige-Heather","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_004","HikeJack_004-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Dune-Beige-Heather","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","HikeJack_004","HikeJack_004-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Dune-Beige-Heather","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","HikeJack_004","HikeJack_004-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Dune-Beige-Heather","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","HikeJack_004","HikeJack_004-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Dune-Beige-Heather","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-15","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","State-Orange","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-14","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","State-Orange","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-13","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","State-Orange","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-12","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","State-Orange","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-11","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","State-Orange","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-10","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Shark/Titanium","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-9","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Shark/Titanium","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-8","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Shark/Titanium","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-7","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Shark/Titanium","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Shark/Titanium","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Manta-Grey","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Manta-Grey","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Manta-Grey","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Manta-Grey","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","HikeJack_003","HikeJack_003-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Manta-Grey","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HikeJack_002","HikeJack_002-18","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","XXXL","","","","",""
"Mystic Outdoors Master","HikeJack_002","HikeJack_002-17","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_002","HikeJack_002-16","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","HikeJack_002","HikeJack_002-15","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","HikeJack_002","HikeJack_002-14","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","HikeJack_002","HikeJack_002-13","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Tnf-Black","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","HikeJack_002","HikeJack_002-12","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Shady-Blue/Urban-Navy","","","","","","","","","XXXL","","","","",""
"Mystic Outdoors Master","HikeJack_002","HikeJack_002-11","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Shady-Blue/Urban-Navy","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","HikeJack_002","HikeJack_002-10","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Shady-Blue/Urban-Navy","","","","","","","","","Extra Large","","","","",""
